scenario,controller,seeds,distance_rmse_m_mean,distance_rmse_m_std,distance_mae_m_mean,distance_mae_m_std,max_abs_error_m_mean,max_abs_error_m_std,bearing_rmse_rad_mean,bearing_rmse_rad_std,minimum_distance_m_mean,minimum_distance_m_std,within_025m_fraction_mean,within_025m_fraction_std,close_duration_s_mean,close_duration_s_std,stale_duration_s_mean,stale_duration_s_std,command_acceleration_rms_mean,command_acceleration_rms_std,command_angular_acceleration_rms_mean,command_angular_acceleration_rms_std,command_effort_proxy_mean,command_effort_proxy_std
straight,legacy_neuro_fuzzy,5,0.29461014428804483,0.0,0.2937770217827773,0.0,0.29676206144120787,0.0,0.0004432907574977053,0.0,1.5,0.0,0.017333333333333333,0.0,0.0,0.0,0.0,0.0,0.06480762114928179,0.0,0.0032932109020678635,4.84869951806108e-19,9.572107433222588,0.0
straight,pid,5,0.03504147096020616,0.0,0.012928277940441397,0.0,0.22230384005854997,0.0,0.0,0.0,1.4588130680600817,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.09756936601435767,0.0,0.0,0.0,9.863502338930601,0.0
straight,fuzzy,5,0.0410994269745039,0.0,0.011538131196974132,0.0,0.23357219084167147,0.0,3.3998651916213085e-19,0.0,1.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.08638167531440351,0.0,2.640177924995652e-18,0.0,9.851821929802638,0.0
straight,neuro_fuzzy,5,0.029346234868420158,0.0,0.005362648714577576,0.0,0.21939230003458055,0.0,0.00042770645963970805,0.0,1.4955762556219212,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.11579647935731721,1.5515838457795457e-17,0.0024382602486540303,0.0,9.877523341724077,0.0
circle,legacy_neuro_fuzzy,5,0.2594571414467622,0.0,0.2587089634061781,0.0,0.2899844193751393,0.0,0.06002937298934813,0.0,1.5,0.0,0.018,0.0,0.0,0.0,0.0,0.0,0.06459538051419707,0.0,0.009096919258451422,0.0,8.147067883161386,0.0
circle,pid,5,0.03602416634445592,0.0,0.015076836217426207,0.0,0.22157619961910813,0.0,0.006387678705974833,0.0,1.4504114318753643,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0977176770747219,0.0,0.009310219253970152,0.0,8.727020752934736,0.0
circle,fuzzy,5,0.04451840088112707,0.0,0.028373388417963708,3.878959614448864e-18,0.23275259654743863,0.0,0.015787010441429033,0.0,1.4786473147334318,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0864277057109996,0.0,0.009098581494310613,0.0,8.829723528928072,0.0
circle,neuro_fuzzy,5,0.03043532185252556,3.878959614448864e-18,0.013755989529393439,0.0,0.21866343734405214,0.0,0.00791613779725679,0.0,1.490457761233544,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.11612758529067273,0.0,0.009227418060051649,0.0,8.762868291435653,0.0
figure_eight,legacy_neuro_fuzzy,5,0.2064222737652007,3.1031676915590914e-17,0.1806677870318537,0.0,0.35282068926360655,0.0,0.08614200662733366,0.0,1.5,0.0,0.7346666666666667,0.0,0.0,0.0,0.0,0.0,0.09872920591981675,0.0,0.06785218767580808,0.0,6.388968448793712,0.0
figure_eight,pid,5,0.05729410175189591,7.757919228897728e-18,0.04394454093393672,0.0,0.23648245092624065,0.0,0.017587338047859027,0.0,1.4020709087834784,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1325773720742991,0.0,0.0946876393838803,0.0,7.4477042750171325,9.930136612989092e-16
figure_eight,fuzzy,5,0.07539918858614796,0.0,0.061583443506462165,0.0,0.2481179645987881,0.0,0.029121834947414216,0.0,1.3865441593291414,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.12146314654002859,0.0,0.0782969825637982,0.0,7.65523204035807,0.0
figure_eight,neuro_fuzzy,5,0.04513365900393183,0.0,0.0323150025851769,0.0,0.23313274166967024,0.0,0.016617582545941673,0.0,1.4441840905847074,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.14491113467178385,0.0,0.10171230864120942,0.0,7.438252011558703,0.0
stop_go,legacy_neuro_fuzzy,5,0.23711050937314643,0.0,0.2053198003009958,0.0,0.2967619039079106,0.0,0.003179316354815372,0.0,1.5,0.0,0.39,0.0,0.0,0.0,0.0,0.0,0.18618207249522084,0.0,0.005856182092055181,0.0,6.127532872785205,0.0
stop_go,pid,5,0.1379742983958286,0.0,0.10962742632557346,1.5515838457795457e-17,0.254851207952151,0.0,0.0,0.0,1.245148792047849,0.0,0.9339999999999999,1.2412670766236366e-16,0.0,0.0,0.0,0.0,0.24237709785388434,3.1031676915590914e-17,0.0,0.0,6.731626861230362,9.930136612989092e-16
stop_go,fuzzy,5,0.14198294702373165,0.0,0.10057189093561814,0.0,0.24203465208545616,0.0,3.472049335291469e-17,0.0,1.2579653479145438,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.22693282200160425,0.0,3.651379848515726e-17,0.0,6.648346482641658,0.0
stop_go,neuro_fuzzy,5,0.13267435019342647,0.0,0.08643121963500251,0.0,0.22931992716581706,0.0,0.0009081675624459903,1.21217487951527e-19,1.270680072834183,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2643162060771733,0.0,0.0033752987583352393,4.84869951806108e-19,6.772125981080608,0.0
noisy_delay,legacy_neuro_fuzzy,5,0.21230639911434998,0.002010079285935256,0.18368433913582677,0.001902862959278869,0.3930477618870454,0.008606876968339953,0.08663434537264049,0.0011492391173819705,1.4719856274663434,0.005987721830709713,0.7226666666666667,0.007272474743090495,0.0,0.0,0.128,0.0,0.7253124453749198,0.005007621579289988,2.1207824018450845,0.017603846154993014,6.787384941519905,0.022818712769624456
noisy_delay,pid,5,0.07897436863260673,0.006225803745454952,0.05870314534610869,0.002706953824881367,0.331253618803245,0.04838901865795182,0.025358639750740996,0.0011375192136604411,1.3474761322489504,0.014102945434318696,0.9804,0.005688194402053758,0.0,0.0,0.128,0.0,0.49768061830799226,0.01115152745687808,0.43305663515331183,0.011802512642118498,7.912304911073845,0.06896934259755302
noisy_delay,fuzzy,5,0.09967639667227597,0.004788679575939709,0.08014526392848367,0.0022642538090984214,0.344932477991513,0.045441316034640716,0.03829071248216585,0.0012731216005721572,1.344366505123277,0.00366182051876282,0.9750666666666667,0.0050022217286144035,0.0,0.0,0.128,0.0,0.42942638593077936,0.009721214182953476,0.29195551553834675,0.007412001082783367,8.051295773471393,0.038293778057030985
noisy_delay,neuro_fuzzy,5,0.06835896778655985,0.006862490955191422,0.04923757957544249,0.002998550591805232,0.3241140383538391,0.04716642146818189,0.024619227448081742,0.0011825721891149605,1.3956118708008076,0.0077966167040019446,0.982,0.005868938953886333,0.0,0.0,0.128,0.0,0.5161579254880652,0.010054061617007518,0.4280446765559834,0.011772882300871335,7.973829153251367,0.0688935271551886
target_loss,legacy_neuro_fuzzy,5,0.2492670308580196,0.0,0.21173149323334345,0.0,0.6506440214883393,0.0,0.11109793159909051,1.5515838457795457e-17,1.4649548250908655,0.0,0.6306666666666667,0.0,0.0,0.0,3.4560000000000004,4.965068306494546e-16,0.37052613244988447,0.0,0.42023471995559747,0.0,6.910039626808519,0.0
