scenario,controller,seed,distance_rmse_m,distance_mae_m,max_abs_error_m,bearing_rmse_rad,minimum_distance_m,within_025m_fraction,close_duration_s,stale_duration_s,command_acceleration_rms,command_angular_acceleration_rms,command_effort_proxy
straight,legacy_neuro_fuzzy,0,0.29461014428804483,0.2937770217827773,0.29676206144120787,0.0004432907574977053,1.5,0.017333333333333333,0.0,0.0,0.06480762114928179,0.003293210902067863,9.572107433222588
straight,legacy_neuro_fuzzy,1,0.29461014428804483,0.2937770217827773,0.29676206144120787,0.0004432907574977053,1.5,0.017333333333333333,0.0,0.0,0.06480762114928179,0.003293210902067863,9.572107433222588
straight,legacy_neuro_fuzzy,2,0.29461014428804483,0.2937770217827773,0.29676206144120787,0.0004432907574977053,1.5,0.017333333333333333,0.0,0.0,0.06480762114928179,0.003293210902067863,9.572107433222588
straight,legacy_neuro_fuzzy,3,0.29461014428804483,0.2937770217827773,0.29676206144120787,0.0004432907574977053,1.5,0.017333333333333333,0.0,0.0,0.06480762114928179,0.003293210902067863,9.572107433222588
straight,legacy_neuro_fuzzy,4,0.29461014428804483,0.2937770217827773,0.29676206144120787,0.0004432907574977053,1.5,0.017333333333333333,0.0,0.0,0.06480762114928179,0.003293210902067863,9.572107433222588
straight,pid,0,0.03504147096020616,0.012928277940441397,0.22230384005854997,0.0,1.4588130680600817,1.0,0.0,0.0,0.09756936601435767,0.0,9.863502338930601
straight,pid,1,0.03504147096020616,0.012928277940441397,0.22230384005854997,0.0,1.4588130680600817,1.0,0.0,0.0,0.09756936601435767,0.0,9.863502338930601
straight,pid,2,0.03504147096020616,0.012928277940441397,0.22230384005854997,0.0,1.4588130680600817,1.0,0.0,0.0,0.09756936601435767,0.0,9.863502338930601
straight,pid,3,0.03504147096020616,0.012928277940441397,0.22230384005854997,0.0,1.4588130680600817,1.0,0.0,0.0,0.09756936601435767,0.0,9.863502338930601
straight,pid,4,0.03504147096020616,0.012928277940441397,0.22230384005854997,0.0,1.4588130680600817,1.0,0.0,0.0,0.09756936601435767,0.0,9.863502338930601
straight,fuzzy,0,0.0410994269745039,0.011538131196974132,0.23357219084167147,3.3998651916213085e-19,1.5,1.0,0.0,0.0,0.08638167531440351,2.640177924995652e-18,9.851821929802638
straight,fuzzy,1,0.0410994269745039,0.011538131196974132,0.23357219084167147,3.3998651916213085e-19,1.5,1.0,0.0,0.0,0.08638167531440351,2.640177924995652e-18,9.851821929802638
straight,fuzzy,2,0.0410994269745039,0.011538131196974132,0.23357219084167147,3.3998651916213085e-19,1.5,1.0,0.0,0.0,0.08638167531440351,2.640177924995652e-18,9.851821929802638
straight,fuzzy,3,0.0410994269745039,0.011538131196974132,0.23357219084167147,3.3998651916213085e-19,1.5,1.0,0.0,0.0,0.08638167531440351,2.640177924995652e-18,9.851821929802638
straight,fuzzy,4,0.0410994269745039,0.011538131196974132,0.23357219084167147,3.3998651916213085e-19,1.5,1.0,0.0,0.0,0.08638167531440351,2.640177924995652e-18,9.851821929802638
straight,neuro_fuzzy,0,0.029346234868420158,0.005362648714577576,0.21939230003458055,0.00042770645963970805,1.4955762556219212,1.0,0.0,0.0,0.1157964793573172,0.0024382602486540303,9.877523341724077
