t,x,y,yaw,hx,hy,v,w,actual_v,actual_w,distance,bearing,error,stale,close,state,estimate_distance,estimate_speed,rejected_measurements
0.032,-9.895465867617852e-20,-9.05499575168298e-06,1.4335101498603523e-18,1.5,0.0,4.2333285264916264e-12,2.299349819823275e-06,-3.3507354409815345e-18,4.479350741066638e-17,1.500000000027331,6.036663834380559e-06,2.7331026331012254e-11,0,0,FOLLOWING,1.500000000027331,0.0,0
0.064,-2.7271075313981902e-11,-7.563411368056189e-06,3.302277837813521e-08,1.5144,0.0,0.002928650061639041,3.7185292815011202e-06,-8.346764577122754e-10,1.0319617860679677e-06,1.5144000000461582,4.961305911437701e-06,0.014400000046158157,0,0,FOLLOWING,1.5043200000462846,0.011249999999999975,0
0.096,8.96746292839227e-05,-6.0639489361743034e-06,8.820324349273439e-08,1.5288,0.0,0.010258039321511526,4.414075109130759e-06,0.002804629349466306,1.7189500423357865e-06,1.528710325382743,3.878505710783463e-06,0.028710325382742985,0,0,FOLLOWING,1.511826325382877,0.03009375000000026,0
0.128,0.0004082927362616112,-4.854671069073275e-06,1.566473843593626e-07,1.5432,0.0,0.022482255282945496,4.607132548622378e-06,0.009962321857192952,2.1195786149501615e-06,1.5427917072713764,2.990032135760298e-06,0.04279170727137638,0,0,FOLLOWING,1.5215670072714826,0.05378203125000029,0
0.16,0.0011127064360565223,-3.88749708553705e-06,2.3190302733807631e-07,1.5576,0.0,0.039465530319855495,4.464397372807819e-06,0.022021514487272503,2.3147489994748103e-06,1.5564872935687983,2.265706237834676e-06,0.056487293568798336,0,0,FOLLOWING,1.5327547210688732,0.08026927734375057,0
0.192,0.0023563823420616097,-3.1140409218286865e-06,3.0918802085990604e-07,1.572,0.0,0.06069193776358683,4.107564221422777e-06,0.038875859021984746,2.3616365448067167e-06,1.5696436176610276,1.6747278736735638e-06,0.06964361766102756,0,0,FOLLOWING,1.5447488487235772,0.10805361767578185,0
0.224,0.0042766563452403894,-2.495318931543387e-06,3.8494326325896215e-07,1.5864,0.0,0.08544123128667706,3.6242977687648035e-06,0.06002105376873668,2.3015862907765557e-06,1.5821233436567275,1.1922529405319792e-06,0.08212334365672747,0,0,FOLLOWING,1.5570374064364467,0.13605131546630922,0
0.256,0.0069878415137377145,-2.0001763343796485e-06,4.565656373309511e-07,1.6008,0.0,0.11104123128667706,3.076818281390183e-06,0.08473762237775932,2.1655976410629395e-06,1.5938121584875173,7.983980192885869e-07,0.09381215848751734,0,0,FOLLOWING,1.5692195518997638,0.16349842103302056,0
0.28800000000000003,0.010521123197092011,-1.6037214596534518e-06,5.223318419033953e-07,1.6152,0.0,0.13664123128667707,2.5083978377378933e-06,0.11042645973184284,1.9818114001151703e-06,1.6046788768037092,4.770715171338361e-07,0.10467887680370924,0,0,FOLLOWING,1.5810464168234195,0.18987393440389294,0
0.32,0.014877439750998473,-1.2860624295730756e-06,5.809398478971859e-07,1.6296,0.0,0.16224123128667706,1.9484472584510272e-06,0.13614408296947628,1.7625141130870455e-06,1.6147225602495134,2.1552046128093319e-07,0.11472256024951344,0,0,FOLLOWING,1.5923530143939566,0.21483994540340612,0
