t,x,y,yaw,hx,hy,v,w,actual_v,actual_w,distance,bearing,error,stale,close,state,estimate_distance,estimate_speed,rejected_measurements
0.032,-9.895465867617852e-20,-9.05499575168298e-06,1.4335101498603523e-18,1.5,0.0,4.2333285264916264e-12,2.299349819823275e-06,-3.3507354409815345e-18,4.479350741066638e-17,1.500000000027331,6.036663834380559e-06,2.7331026331012254e-11,0,0,FOLLOWING,1.500000000027331,0.0,0
0.064,3.095779988085675e-10,-7.563411368063015e-06,3.054606537194816e-08,1.5134399550423492,0.014335808181267047,0.002740464268610715,0.0026386699595538432,9.726561773994524e-09,9.545644224427327e-07,1.5135079216476461,0.009477016846075714,0.013507921647646137,0,0,FOLLOWING,1.5040381567704841,0.015352065190371278,0
0.096,7.866810369928482e-05,-6.0604170061399575e-06,0.0001099799794231508,1.5268796403398757,0.02867046546861567,0.009632674618164545,0.009212859023214535,0.0024603880919934107,0.0034359150219323595,1.5270702511535617,0.018669910179486618,0.027070251153561653,0,0,FOLLOWING,1.511089424431299,0.04106597430358764,0
0.128,0.00035918857619215164,-4.816186814216908e-06,0.0004781469409322034,1.540318786153171,0.043002821060522445,0.021204485118672966,0.0201056214504655,0.008771137455003936,0.011505200671213729,1.5405600342184167,0.02744236547233827,0.040560034218416696,0,0,FOLLOWING,1.5203080997950917,0.0733887263487734,0
0.16,0.0009820515432596255,-3.5424238731528867e-06,0.0012756295414328763,1.5537571227536544,0.057331724340246484,0.03741047888213527,0.03508379445986504,0.01947212893774466,0.024921299801887273,1.5538332454247974,0.03563198957046157,0.053833245424797393,0,0,FOLLOWING,1.5309976214488883,0.10952719970651745,0
0.192,0.002087140706913286,-1.3213723310533966e-06,0.0026668152347566476,1.5671943804289856,0.07165602496820221,0.0578497354710775,0.05353674044479504,0.03454394855768292,0.04347451233778113,1.5667467718540262,0.043085538319979376,0.06674677185402622,0,0,FOLLOWING,1.5425878470118148,0.14743001659223318,0
0.224,0.0038025588196108156,4.0100053028469e-06,0.004795051254069638,1.5806302894884796,0.08597457297430981,0.0819192095331717,0.07465015401158971,0.05361832576129033,0.06650734301854729,1.5791696013739442,0.04967223683711122,0.07916960137394424,0,0,FOLLOWING,1.5546169014487576,0.18561630466921544,0
0.256,0.006238251346288489,1.6571055233342884e-05,0.0077748059422344355,1.594064580268518,0.10028621885031608,0.10751920953317172,0.09753000489332095,0.07612817314494479,0.09311734306606625,1.590989142982313,0.05529045440279268,0.09098914298231309,0,0,FOLLOWING,1.5667158875387326,0.22304156762934774,0
0.28800000000000003,0.009439912990577302,4.277572313232018e-05,0.0116891290890247,1.6074969831379622,0.11458981364207813,0.13311920953317172,0.12128641797707543,0.10006559352819636,0.12232270473163576,1.6021571156862389,0.05986742959098429,0.10215711568623886,0,0,FOLLOWING,1.5786385394657314,0.25899288528965453,0
0.32,0.013406885332810628,9.133618204567337e-05,0.016575508889546148,1.6209272285035645,0.1288842090418027,0.15871920953317173,0.1450949440549293,0.12398479734075729,0.15269964669004987,1.6126714661726014,0.06337268834139775,0.11267146617260138,0,0,FOLLOWING,1.5902306389711653,0.2930072643503271,0
0.352,0.018133946770098913,0.0001733629901386604,0.022458710478223978,1.6343550468153791,0.14316825748023349,0.18431920953317174,0.16822077440938366,0.14774788520492255,0.18385058847129923,1.6225344939574655,0.06578634800692831,0.12253449395746552,0,0,FOLLOWING,1.601378357478969,0.32480823584934576,0
0.384,0.023617905434315134,0.00030240818078628725,0.029330015586099555,1.6477801685721722,0.15744081221877923,0.20991920953317178,0.19004066365361844,0.17142370437591842,0.21472918001032978,1.6317461613329118,0.06712022056161912,0.13174616133291184,0,0,FOLLOWING,1.6119938762905233,0.35425681037058593,0
0.41600000000000004,0.029858116820972398,0.0004942741237040966,0.037149506308572576,1.6612023243268308,0.17170072744157516,0.2355192095331718,0.21005370249016428,0.19509909070656897,0.24436042683063597,1.6403035002768853,0.06741580384454848,0.14030350027688532,0,0,FOLLOWING,1.6220087024757148,0.3813137098010614,0
0.448,0.0368575472183765,0.0007667228610267709,0.04584371757674991,1.6746212446917705,0.1859468583474702,0.2611192095331718,0.22788678148251426,0.2188961300988042,0.2716959574165678,1.6481995059277565,0.0667469965734368,0.14819950592775655,0,0,FOLLOWING,1.631367719224237,0.4060104368802126,0
0.48,0.04462102260457722,0.0011390364623084389,0.05531824510970831,1.6880366603443426,0.20017806124193294,0.2867192095331718,0.2432893166240518,0.24288377831497565,0.2960813900224896,1.6554248674442535,0.06520775232059786,0.15542486744425354,0,0,FOLLOWING,1.6400270640878878,0.42842725446614144,0
0.512,0.053151832786123634,0.001631561691830176,0.0654781672155738,1.7014483020322388,0.21439319362886847,0.31231920953317177,0.25611595043790986,0.2670261325569363,0.3175005303655085,1.6619713482950664,0.06289173603032698,0.16197134829506643,0,0,FOLLOWING,1.6479544468106855,0.44867655212298496,0
0.544,0.06244969382810363,0.002265379230635744,0.07624054208109826,1.7148559005788964,0.22859111430233955,0.33791920953317184,0.2663039953914978,0.2912247771748409,0.336327735634928,1.6678338078070882,0.059879837703457506,0.16783380780708823,0,0,FOLLOWING,1.6551287389557159,0.4668903996690419,0
0.5760000000000001,0.07251120263584493,0.0030621109352303505,0.08753366357278562,1.7282591868888995,0.24277068343818337,0.36351920953317185,0.2738538811685928,0.3153965626595111,0.35291411085892066,1.6730097390898406,0.05624099893023794,0.17300973908984063,0,0,FOLLOWING,1.661537584367832,0.4832113427590853,0
0.608,0.0833313619455513,0.004043772622861945,0.09929088053337515,1.74165789195338,0.2569307626855181,0.38911920953317186,0.2788153360936387,0.33950673362355893,0.3674176116775138,1.6774977525680193,0.052038553582386654,0.17749775256801925,0,0,FOLLOWING,1.6671743607751783,0.4977856980011881,0
0.64,0.09490465602746566,0.005232601424655441,0.11144672544042596,1.755051746855418,0.271070215258131,0.4147192095331718,0.2812774298845818,0.3635544241921033,0.3798752123638447,1.6812965235535313,0.047334267453116294,0.18129652355353132,0,0,FOLLOWING,1.6720359317822617,0.5107587653697171,0
0.672,0.10722304174887937,0.0066508655909089075,0.12394874674823268,1.7684404827754379,0.2851879060257407,0.44031920953317183,0.28135380722227293,0.387476320524543,0.39069366516221815,1.6844068004092783,0.04217640470421359,0.18440680040927826,0,0,FOLLOWING,1.6761237225807042,0.5222715024150977,0
0.704,0.12027511139731235,0.00832034423936145,0.1367623123317377,1.781823830996603,0.2992827016051264,0.46591920953317184,0.2791679268361315,0.41118175872317203,0.4004298385549495,1.686832309687565,0.03659508265047881,0.18683230968756503,0,0,FOLLOWING,1.6794438988499358,0.5324583048757277,0
0.736,0.13405443128227468,0.01026276819715008,0.14982723796730174,1.795201522910211,0.3133534704511176,0.4915192095331718,0.2748635911536626,0.43484040936485985,0.40828518795241336,1.6885714772602178,0.030646192138689826,0.18857147726021783,0,0,FOLLOWING,1.681998526428577,0.5414456172556631,0
0.768,0.14855443299349086,0.01249982361725448,0.16308707802421604,1.8085732900210831,0.3273990829474354,0.5171192095331718,0.26859795714406254,0.45846308202504665,0.41437654686520536,1.6896224871887477,0.024381631536272402,0.18962248718874775,0,0,FOLLOWING,1.6837902063747054,0.5493511591134239,0
0.8,0.1637682194360091,0.015052943245912257,0.17648904947080485,1.8219388639529535,0.3414184114973796,0.5427192095331718,0.2605358948160027,0.48205373558021664,0.4188183651721916,1.6899835221695916,0.017849465856856206,0.18998352216959158,0,0,FOLLOWING,1.6848219915490494,0.556283601690852,0
0.8320000000000001,0.17968858829483136,0.017942875902329243,0.1899849911610409,1.8352979764538557,0.35541033061435273,0.5683192095331717,0.2508450260261314,0.5056143418828157,0.42175507905001197,1.6896528427905275,0.011093197550664124,0.18965284279052752,0,0,FOLLOWING,1.685097223695055,0.5623425678637884,0
0.864,0.1963080729720812,0.021189753348778352,0.20353119485864676,1.8486503594015067,0.3693737170122161,0.5855381620694521,0.23969180199972467,0.5291476348935881,0.42332584635000675,1.688628764434387,0.00415187755528762,0.18862876443438692,0,0,FOLLOWING,1.6846193335624344,0.5676188584187797,0
0.896,0.21338638325915288,0.024773168769812805,0.21698669874006887,1.861995744808688,0.3833074496954678,0.5968592212574961,0.22728336489992926,0.5452844465911989,0.4204913964798362,1.687145416846942,-0.0028443834090098596,0.18714541684694197,0,0,FOLLOWING,1.6836274860975797,0.5721948311006513,0
0.928,0.23074275606794636,0.028670797518551287,0.23024603682284062,1.8753338648286242,0.39721041004923796,0.6068430872267264,0.21384307532075694,0.5558604246260475,0.41436089118767794,1.6853786995862219,-0.009796066685700017,0.18537869958622188,0,0,FOLLOWING,1.6823024169710497,0.5761448771231245,0
0.96,0.24832705722771448,0.032865406336463704,0.2432649175494343,1.8886644517603592,0.41108148192909166,0.6156068523861574,0.1995823859172149,0.5648946133834778,0.4068461122430464,1.6833758248646777,-0.01665321916450255,0.18337582486467774,0,0,FOLLOWING,1.68069591628789,0.579535953990475,0
